rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
628,dīvidō -ere dīvīsī dīvīsum,dīvidō,"divide, separate",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,260
629,pretium -ī n.,pretium,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,2nd Declension,Business/Money,11
630,pontus -ī m.,pontus,"the open sea, the deep",Noun: 2nd Declension,2nd Declension,Earth and Water,14
631,varius -a -um,varius,"changing, varied, various",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Other Senses,84
632,vehō vehere vēxī vectum,vehō,"carry; vehor vehī vectus sum: travel, ride",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
633,falsus -a -um,falsus,"deceptive, false",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Deception,84
634,niger nigra nigrum,niger,black,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Vision,84
635,oppidum -ī n.,oppidum,town,Noun: 2nd Declension,2nd Declension,The City,14
636,pondus ponderis n.,pondus,weight,Noun: 3rd Declension,3rd Declension,Measurement,12
637,arvum -ī n.,arvum,"ploughed land, field",Noun: 2nd Declension,2nd Declension,Animals/Plants,14
638,arx arcis f.,arx,"citadel, castle; summit",Noun: 3rd Declension,3rd Declension,The City,12
639,sors sortis f.,sors,"lot, fate, destiny; oracle",Noun: 3rd Declension,3rd Declension,Religion,12
640,vīnum -ī n.,vīnum,"vine, wine",Noun: 2nd Declension,2nd Declension,Animals/Plants,12
641,dīversus -a -um,dīversus,"different, diverse",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Other Senses,84
642,orior orīrī ortus sum,orior,"arise, begin",Verb: Deponent,Deponent,Time,334
643,ecce,ecce,behold!,Adverb,,Vision,0
644,quamquam,quamquam,"however, although",Conjunction,,Conjunctions/Adverbs,0
645,cōnferō cōnferre contulī collātum,cōnferō,"collect, bring to",Verb: Irregular,Irregular,Verbs of Transport,325
646,facinus facinoris n.,facinus,"deed, crime",Noun: 3rd Declension,3rd Declension,Justice,12
647,retineō -tinēre -tinuī -tentum,retineō,"hold back, keep",Verb: 2nd Conjugation,2nd Conjugation,Verbs of Compelling/Directing,227
648,spērō -āre,spērō,to hope,Verb: 1st Conjugation,1st Conjugation,Emotions,227
649,plēbs plēbis f.,plēbs,the common people,Noun: 3rd Declension,3rd Declension,The City,12
650,pūgna -ae f.,pūgna,fist-fight; battle,Noun: 1st Declension,1st Declension,Violence,12
651,repetō -petere -petīvī -petītum,repetō,"demand, exact; revisit; call to mind, recollect; repeat",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
652,cōnstituō -stituere -stituī -stitūtum,cōnstituō,"establish, put together",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,260
653,dēfendō -fendere -fendī -fēnsum,dēfendō,"defend, ward off",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,260
654,marītus -ī m.,marītus,husband,Noun: 2nd Declension,2nd Declension,The Household,12
655,cernō cernere crēvī crētum,cernō,"discern, separate",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,262
656,superbus -a -um,superbus,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
657,adversus -a -um,adversus,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,1st and 2nd Declension,War and Peace,84
658,morbus -ī m.,morbus,"sickness, disease",Noun: 2nd Declension,2nd Declension,The Body,12
659,sānctus -a -um,sānctus,"sacred, inviolable",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Religion,84
660,commūnis -e,commūnis,"common, general",Adjective: 3rd Declension,3rd Declension,The City,73
661,dēdūcō -dūcere -dūxī -ductum,dēdūcō,"launch, lead away",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
662,rīpa -ae f.,rīpa,bank of a river,Noun: 1st Declension,1st Declension,Earth and Water,12
663,concēdō -cēdere -cessī -cessum,concēdō,"yield, withdraw",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,260
664,hōra -ae f.,hōra,hour,Noun: 1st Declension,1st Declension,Lengths of Time,12
665,vetō -āre vetuī vetītum,vetō,forbid,Verb: 1st Conjugation,1st Conjugation,Verbs of Compelling/Directing,325
666,cohors cohortis f.,cohors,"cohort, band, troop",Noun: 3rd Declension,3rd Declension,War and Peace,12
667,gīgnō gīgnere genuī genitum,gīgnō,"beget, bear, bring forth",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Life and Being,260
668,superō -āre,superō,"overcome, surpass, defeat",Verb: 1st Conjugation,1st Conjugation,War and Peace,227
669,maestus -a -um,maestus,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Emotions,84
670,meminī meminisse,meminī,"remember, recollect",Verb: Irregular,Irregular,Education/Knowledge,34
671,impleō -ēre -plēvī -plētum,impleō,"fill in, fill up",Verb: 2nd Conjugation,2nd Conjugation,Earth and Water,227
672,māgnitūdō -inis f.,māgnitūdō,"greatness, size",Noun: 3rd Declension,3rd Declension,Measurement,12
673,vacuus -a -um,vacuus,empty,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
674,vagus -a -um,vagus,"wandering, shifting",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Travel,84
675,vulgus -ī n. and m.,vulgus,the common people,Noun: 2nd Declension,2nd Declension,The City,14
676,deficiō -ficere -fēcī -fectum,deficiō,"fail, give out; revolt from",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,War and Peace,260
677,occurrō -currere -cucurrī -cursum,occurrō,run to meet; come into one’s mind,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,292
678,statuō -ere -uī -ūtum,statuō,"set up, determine",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Justice,260
679,ideō,ideō,for this reason,Adverb,,Conjunctions/Adverbs,0
680,praemium -ī n.,praemium,"bounty, reward",Noun: 2nd Declension,2nd Declension,Business/Money,11
681,praetereā,praetereā,"besides, moreover",Adverb,,Conjunctions/Adverbs,0
682,tertius -a -um,tertius,third,Adjective: 1st and 2nd Declension,,Measurement,0
683,supplicium -ī n.,supplicium,"punishment, penalty",Noun: 2nd Declension,2nd Declension,Justice,11
684,vātēs -is m.,vātēs,"poet, bard",Noun: 3rd Declension,3rd Declension,Writing/Poetry,12
685,astrum -ī n.,astrum,star; constellation,Noun: 2nd Declension,2nd Declension,Air and Fire,12
686,undique,undique,"from all sides, on all sides",Adverb,,Place,0
687,canis -is m./f.,canis,dog,Noun: 3rd Declension,3rd Declension,Animals/Plants,12
688,ēdō ēdere ēdidī ēditum,ēdō,"put forth, state, explain",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,574
689,fateor fatērī fassus sum,fateor,"admit, confess; profess, declare; assent, say yes",Verb: Deponent,Deponent,Justice,195
690,amīcitia -ae f.,amīcitia,friendship,Noun: 1st Declension,1st Declension,Social Life,12
691,aureus -a -um,aureus,golden; splendid,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Business/Money,84
692,candidus -a -um,candidus,"white, fair",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Vision,84
693,interim,interim,meanwhile,Adverb,,Time,0
694,frūstrā,frūstrā,in vain,Adverb,,Conjunctions/Adverbs,0
695,lateō latēre latuī,lateō,"lie hidden, be hidden",Verb: 2nd Conjugation,2nd Conjugation,Deception,161
696,os ossis n.,os,bone,Noun: 3rd Declension,3rd Declension,The Body,30
697,sēcūrus -a -um,sēcūrus,"free from care, tranquil; careless",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
698,conveniō -venīre -vēnī -ventum,conveniō,"assemble, meet; agree",Verb: 4th Conjugation,4th Conjugation,Social Life,277
699,interficiō -ficere -fēcī -fectum,interficiō,kill,Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Violence,260
700,appellō -pellāre,appellō,"call, address, name",Verb: 1st Conjugation,1st Conjugation,Social Life,583
701,dolus -ī m.,dolus,"artifice, device, trick",Noun: 2nd Declension,2nd Declension,Deception,12
702,permittō -mittere -mīsī -missum,permittō,"yield, allow, permit",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
703,spīritus -ūs m.,spīritus,"breath, life, spirit",Noun: 4th Declension,4th Declension,Life and Being,12
704,intrā,intrā,within (+ acc.),Preposition,,Place,0
705,terreō terrēre terruī territum,terreō,"terrify, frighten",Verb: 2nd Conjugation,2nd Conjugation,Emotions,227
706,fōns fontis m.,fōns,"spring, fountain",Noun: 3rd Declension,3rd Declension,Earth and Water,12
707,invidia -ae f.,invidia,"envy, jealousy, hatred",Noun: 1st Declension,1st Declension,Emotions,12
708,pugnō -āre,pugnō,fight,Verb: 1st Conjugation,1st Conjugation,Violence,227
709,augeō augēre auxī auctum,augeō,increase,Verb: 2nd Conjugation,2nd Conjugation,Making/Doing,227
710,littera -ae f.,littera,"letter, (pl.) literature",Noun: 1st Declension,1st Declension,Writing/Poetry,12
711,moneō monēre monuī monitum,moneō,"warn, advise",Verb: 2nd Conjugation,2nd Conjugation,Speech/Oratory,227
712,dīvitiae -ārum f. pl.,dīvitiae,"riches, wealth",Noun: 1st Declension,,Business/Money,0
713,experior -perīrī -pertus sum,experior,"try thoroughly, test, experience",Verb: Deponent,Deponent,Education/Knowledge,245
714,superī -ōrum m. pl.,superī,"those above, i.e. the gods",Noun: 2nd Declension,,Religion,0
715,ōtium -ī n.,ōtium,leisure,Noun: 2nd Declension,2nd Declension,Social Life,11
716,vestīgium -ī n.,vestīgium,"footstep, footprint, track",Noun: 2nd Declension,2nd Declension,Travel,11
717,sinō sinere sīvī situm,sinō,"allow, let go",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
718,decet decēre decuīt,decet,"it is right, proper, fitting (+ acc. + infin.)",Verb: Impersonal,,Personality Traits/Characteristics,0
719,effundō -fundere -fūdī -fūsum,effundō,pour out,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Earth and Water,260
720,prōmittō -mittere -mīsī -missum,prōmittō,"send forth, offer",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
721,fingō fingere fīnxī fīctum,fingō,shape; invent,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Making/Doing,358
722,respicio -ere -spēxī -spectum,respicio,"look back, regard, consider",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Vision,260
723,imperātor -ōris m.,imperātor,commander,Noun: 3rd Declension,3rd Declension,War and Peace,12
724,vacō vacāre,vacō,"be empty, open, unoccupied",Verb: 1st Conjugation,1st Conjugation,Measurement,227
725,color -ōris m.,color,color,Noun: 3rd Declension,3rd Declension,Vision,12
726,discēdō -ere -cessī -cessum,discēdō,"go away, depart",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
727,gaudium -ī n.,gaudium,"delight, joy, pleasure",Noun: 2nd Declension,2nd Declension,Emotions,11
728,caecus -a -um,caecus,"blind, unseeing; dark, obscure",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Vision,84
729,libet libēre libuit or libitum est,libet,it is pleasing (+ dat. + infin.),Verb: Impersonal,,Social Life,0
730,centum,centum,one hundred,Adjective: Numeral,Numeral,Measurement,53
731,cōnstō -stāre -stitī,cōnstō,"agree; constat, it is established that (+ acc. and infin.)",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,227
732,lingua -ae f.,lingua,tongue; language,Noun: 1st Declension,1st Declension,The Body,12
733,multitūdō -inis f.,multitūdō,"multitude, number",Noun: 3rd Declension,3rd Declension,Measurement,12
734,aeternus -a -um,aeternus,"everlasting, eternal",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Lengths of Time,84
735,circā,circā,around (adv. and prep. +acc.),Preposition,,Place,0
736,ōrātiō -ōnis f.,ōrātiō,"speech, address",Noun: 3rd Declension,3rd Declension,Speech/Oratory,12
737,potestās -ātis f.,potestās,power,Noun: 3rd Declension,3rd Declension,The City,12
738,tardus -a -um,tardus,"slow, sluggish, lingering",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Time,84
739,for fārī fātus sum,for,"report, say",Verb: Deponent,Deponent,Speech/Oratory,195
740,humus -ī f.,humus,ground; humī: on the ground,Noun: 2nd Declension,2nd Declension,Earth and Water,14
741,testis -is m.,testis,witness,Noun: 3rd Declension,3rd Declension,Justice,24
742,īnferō īnferre intulī illātum,īnferō,"bring upon, against; bellum īnferre: make war on",Verb: Irregular,Irregular,War and Peace,325
743,cūrō -āre,cūrō,"watch over, look after, care for (+ acc.)",Verb: 1st Conjugation,1st Conjugation,Love,227
744,aes aeris n.,aes,"copper, bronze",Noun: 3rd Declension,3rd Declension,Business/Money,12
745,celer -is -e,celer,swift,Adjective: 3rd Declension,3rd Declension,Time,75
746,prōcēdō -cēdere -cessī -cessum,prōcēdō,"go forth, advance",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
747,mēnsa -ae f.,mēnsa,table,Noun: 1st Declension,1st Declension,The House,12
748,pius -a -um,pius,"dutiful, devoted, just, pious",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,64
749,iūdicium -ī n.,iūdicium,"judgment, decision, trial",Noun: 2nd Declension,2nd Declension,Justice,11
750,victōria -ae f.,victōria,victory,Noun: 1st Declension,1st Declension,War and Peace,12
751,damnō -āre,damnō,condemn,Verb: 1st Conjugation,1st Conjugation,Justice,227
752,rārus -a -um,rārus,"wide apart, loose, thin; rare, seldom",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
753,tempestas -tātis f.,tempestas,"period of time, season; bad weather, storm",Noun: 3rd Declension,3rd Declension,Lengths of Time,12
754,imāgō -inis f.,imāgō,"image, form, figure",Noun: 3rd Declension,3rd Declension,Vision,12
755,ōrō -āre,ōrō,pray,Verb: 1st Conjugation,1st Conjugation,Religion,387
756,praeter,praeter,"by, along, past; besides, except (+ acc.)",Preposition,,Place,0
757,cōnsulō -sulere -suluī -sultum,cōnsulō,"consult, plan (+ acc.); consider the interests of (+dat)",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,The City,260
758,iterum,iterum,again,Adverb,,Time,0
759,porta -ae f.,porta,gate,Noun: 1st Declension,1st Declension,The City,12
760,intersum -esse -fuī,intersum,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)",Verb: Irregular,Irregular,Place,143
761,libīdō -inis f.,libīdō,"passion, lust",Noun: 3rd Declension,3rd Declension,Love,12
762,sustineō sustinēre sustinuī sustentum,sustineō,"hold up, sustain",Verb: 2nd Conjugation,2nd Conjugation,Social Life,227
763,aliquandō,aliquandō,"at some time, at length",Adverb,,Time,0
764,māiōrēs māiōrum m.,māiōrēs,ancestors,Noun: 3rd Declension,,The Household,0
765,reperiō -perīre -pperī -pertum,reperiō,"find, find out",Verb: 4th Conjugation,4th Conjugation,Education/Knowledge,277
766,intrō -āre,intrō,enter,Verb: 1st Conjugation,1st Conjugation,Motion,227
767,pietās -tātis f.,pietās,"sense of duty, devotion, esp. between parents and children",Noun: 3rd Declension,3rd Declension,The Household,12
768,barbarus -ī m.,barbarus,"foreigner, barbarian",Noun: 2nd Declension,2nd Declension,War and Peace,12
769,culpa -ae f.,culpa,"guilt, fault, blame",Noun: 1st Declension,1st Declension,Justice,12
770,iūstus -a -um,iūstus,"right, just, fair",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Justice,84
771,dōnec,dōnec,until,Conjunction,,Time,0
772,fluō fluere fluxī fluxum,fluō,flow,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Earth and Water,260
773,necesse (indecl. adj.),necesse,necessary,Adjective: Indeclinable,,Business/Money,0
774,reor rērī rātus sum,reor,"think, imagine, suppose, deem",Verb: Deponent,Deponent,Education/Knowledge,195
775,tenebrae -brārum f. pl.,tenebrae,"darkness, the shadows",Noun: 1st Declension,,Vision,0
776,saeculum -ī n.,saeculum,"generation, age, century",Noun: 2nd Declension,2nd Declension,Lengths of Time,12
777,dīmittō -mittere -mīsī -missum,dīmittō,send away,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
778,licet,licet,even though,Conjunction,,Justice,0
779,cinis cineris m./f.,cinis,"ashes, embers",Noun: 3rd Declension,3rd Declension,Air and Fire,12
780,cōnsistō -sistere -stitī,cōnsistō,"take position; consist in, be composed of",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Speech/Oratory,260
781,recēns -ntis,recēns,"fresh, new",Adjective: 3rd Declension,3rd Declension,Time,71
782,aliter,aliter,"otherwise, differently",Adverb,,Conjunctions/Adverbs,0
783,laedō laedere laesī laesum,laedō,"injure by striking, hurt",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
784,probō -āre,probō,"approve, prove; convince one (dat.) of a thing (acc.)",Verb: 1st Conjugation,1st Conjugation,Verbs of Compelling/Directing,227
785,doleō -ēre doluī,doleō,"feel pain or grief, grieve",Verb: 2nd Conjugation,2nd Conjugation,Emotions,227
786,quārē,quārē,how? why?,Adverb,,Pronouns/Interrogatives,0
787,antequam,antequam,before,Conjunction,,Time,0
788,reliquus -a -um,reliquus,"remaining, rest",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
789,semel,semel,once,Adverb,,Time,0
790,ōdī ōdisse,ōdī,hate,Verb: Irregular,Irregular,Emotions,98
791,sīcut,sīcut,just as,Adverb,,Conjunctions/Adverbs,0
792,peccō -āre,peccō,"commit a wrong, injure",Verb: 1st Conjugation,1st Conjugation,Justice,227
793,sēnsus -ūs m.,sēnsus,"feeling, emotion, sense",Noun: 4th Declension,4th Declension,Emotions,12
794,exsilium -ī n.,exsilium,"exile, banishment",Noun: 2nd Declension,2nd Declension,Travel,11
795,cor cordis n.,cor,"heart; cordī est, it is pleasing to (+ dat.)",Noun: 3rd Declension,3rd Declension,The Body,12
796,dēnique,dēnique,finally,Adverb,,Time,0
797,sapientia -ae f.,sapientia,wisdom,Noun: 1st Declension,1st Declension,Education/Knowledge,12
798,statim,statim,immediately,Adverb,,Time,0
799,accidō -cidere -cidī,accidō,fall; happen,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
800,dēcernō -cernere -crēvī -crētum,dēcernō,"determine, decide",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Education/Knowledge,260
801,occīdō -cīdere -cīdī -cīsum,occīdō,"kill, cut down",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,326
802,dēscendō -scendere -scendī -scēnsum,dēscendō,"climb down, descend",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Travel,260
803,hiems hiemis f.,hiems,winter,Noun: 3rd Declension,3rd Declension,Lengths of Time,12
804,contineō -tinēre -tinuī -tentum,contineō,"contain, restrain",Verb: 2nd Conjugation,2nd Conjugation,Verbs of Compelling/Directing,227
805,dēferō -ferre -tulī -lātum,dēferō,"carry away, report",Verb: Irregular,Irregular,Verbs of Transport,259
806,oportet -ēre -uit,oportet,"it is proper, right (+ acc. + infin.)",Verb: Impersonal,,Social Life,0
807,tribūnus -ī m.,tribūnus,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",Noun: 2nd Declension,2nd Declension,The City,12
808,bōs bovis m.,bōs,ox; gen. pl. boum,Noun: 3rd Declension,3rd Declension,Animals/Plants,15
809,īrāscor īrāscī īrātus sum,īrāscor,grow angry; īrātus -a -um: angry,Verb: Deponent,Deponent,Emotions,228
810,aeger aegra aegrum,aeger,sick,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Life and Being,84
811,forum -ī n.,forum,"market-place, forum",Noun: 2nd Declension,2nd Declension,The City,12
812,offerō offerre obtulī oblātum,offerō,"present, offer, expose",Verb: Irregular,Irregular,Verbs of Transport,484
813,revocō -āre,revocō,"call back, recall",Verb: 1st Conjugation,1st Conjugation,Social Life,227
814,cingō cingere cīnxī cīnctum,cingō,"encircle, surround, gird",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,War and Peace,260
815,integer -gra -grum:,integer,"untouched, fresh, complete, whole",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
816,validus -a -um,validus,strong,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
817,alō alere aluī alitum,alō,nourish,Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Life and Being,326
818,flōs flōris m.,flōs,"flower, bloom",Noun: 3rd Declension,3rd Declension,Animals/Plants,12
819,īctus -ūs m.,īctus,"blow, stroke",Noun: 4th Declension,4th Declension,Violence,12
820,colligō -ere -lēgī -lēctum,colligō,"gather together, collect",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,517
821,pergō pergere perrēxī perrēctum,pergō,"continue, proceed; awaken",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
822,praesēns -ntis,praesēns,"present, in person, ready",Adjective: 3rd Declension,3rd Declension,Place,71
823,rēctus -a -um,rēctus,"straight, direct",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
824,lātus -a -um,lātus,"broad, wide",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
825,praeceptum -ī n.,praeceptum,"rule, precept; command",Noun: 2nd Declension,2nd Declension,Justice,12
826,recēdō -cēdere -cessī -cessum,recēdō,"step back, recoil, recede, withdraw",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
827,utrum,utrum,whether; utrum ... an: whether ... or,Conjunction,,Conjunctions/Adverbs,0
828,famēs -is f.,famēs,"hunger, famine",Noun: 3rd Declension,3rd Declension,Life and Being,12
829,pariō parere peperī partum,pariō,"bring forth, give birth to; accomplish",Verb: 3rd Conjugation -iō,3rd Conjugation -iō,Life and Being,591
830,appāreō -ēre -uī,appāreō,"appear, become visible",Verb: 2nd Conjugation,2nd Conjugation,Vision,227
831,quōmodo,quōmodo,"in what way, how?",Conjunction,,Pronouns/Interrogatives,0
832,error -ōris m.,error,"wandering; error, mistake",Noun: 3rd Declension,3rd Declension,Travel,12
833,"forsitan, fortasse","forsitan,","perhaps, perchance",Adverb,,Conjunctions/Adverbs,0
834,convertō -vertere -vertī -versum,convertō,"turn about, turn, change",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,260
835,proficīscor -ficīscī -fectus sum,proficīscor,"set forth, go",Verb: Deponent,Deponent,Travel,228
836,secundus -a -um,secundus,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Measurement,84
837,aperiō aperīre aperuī apertum,aperiō,open,Verb: 4th Conjugation,4th Conjugation,The House,277
838,castus -a -um,castus,"pure, spotless, chaste",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
839,iūdex iūdicis m.,iūdex,"judge, juror",Noun: 3rd Declension,3rd Declension,Justice,12
840,lapis lapidis m.,lapis,stone,Noun: 3rd Declension,3rd Declension,Earth and Water,24
841,nimis or nimium,nimis,excessively,Adverb,,Personality Traits/Characteristics,0
842,onus oneris n.,onus,"load, burden",Noun: 3rd Declension,3rd Declension,Measurement,12
843,opera -ae f.,opera,"labor, activity, work",Noun: 1st Declension,1st Declension,Business/Money,12
844,pauper -eris,pauper,"poor, lowly",Adjective: 3rd Declension,3rd Declension,Business/Money,71
845,āēr āeris m.,āēr,air,Noun: 3rd Declension,3rd Declension,Air and Fire,12
846,negōtium -ī n.,negōtium,business,Noun: 2nd Declension,2nd Declension,Business/Money,11
847,pāreō pārēre pāruī,pāreō,obey,Verb: 2nd Conjugation,2nd Conjugation,Verbs of Compelling/Directing,227
848,subitō,subitō,"suddenly, unexpectedly",Adverb,,Time,0
849,argentum -ī n.,argentum,"silver, money",Noun: 2nd Declension,2nd Declension,Business/Money,12
850,ūtilis -e,ūtilis,useful,Adjective: 3rd Declension,3rd Declension,Making/Doing,73
851,aethēr aetheris n.,aethēr,"pure upper air, ether, heaven, sky",Noun: 3rd Declension,3rd Declension,Air and Fire,12
852,mereō merēre meruī meritum,mereō,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,2nd Conjugation,Business/Money,227
853,portō -āre,portō,carry a load,Verb: 1st Conjugation,1st Conjugation,Measurement,227
854,proprius -a -um,proprius,"one’s own, peculiar",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Pronouns/Interrogatives,84
855,avis -is f.,avis,bird,Noun: 3rd Declension,3rd Declension,Animals/Plants,12
856,vanus -a -um,vanus,"empty; false, deceitful",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Deception,84
857,māteria -ae f.,māteria,"material, subject matter; timber, lumber",Noun: 1st Declension,1st Declension,Speech/Oratory,12
858,paucī -ae -a,paucī,"few, a few",Adjective: 1st and 2nd Declension,,Measurement,0
859,voluntās -ātis f.,voluntās,"wish, desire",Noun: 3rd Declension,3rd Declension,Emotions,12
860,ēgregius -a -um,ēgregius,"distinguished, uncommon",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
861,difficilis -e,difficilis,"not easy, hard, difficult",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,73
862,gladius -ī m.,gladius,sword,Noun: 2nd Declension,2nd Declension,War and Peace,12
863,cibus -ī m.,cibus,food,Noun: 2nd Declension,2nd Declension,Life and Being,12
864,certō -āre,certō,"decide by contest; fight, compete, vie",Verb: 1st Conjugation,1st Conjugation,Athletics,227
865,initium -ī n.:,initium,beginning,Noun: 2nd Declension,2nd Declension,Time,11
866,pertineō -tinēre -tinuī,pertineō,"extend over, reach; refer to, pertain to, be the business of",Verb: 2nd Conjugation,2nd Conjugation,Education/Knowledge,227
867,quattuor,quattuor,four,Adjective: Numeral,Numeral,Measurement,52
868,turbō -āre,turbō,"disturb, confuse",Verb: 1st Conjugation,1st Conjugation,Speech/Oratory,227
869,cōnsūmō -sūmere -sūmpsī -sūmptum,cōnsūmō,"to use up, consume",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Life and Being,260
870,corrumpō -rumpere -rūpī -ruptum,corrumpō,"break up, destroy, ruin",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,260
871,incidō incidere incidī,incidō,"fall upon, fall into; happen",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Motion,326
872,"paulō, paulum","paulō,","to only a small extent, slightly, a little",Adverb,,Measurement,0
873,hospes hospitis m.,hospes,"guest, guest-friend; stranger; host",Noun: 3rd Declension,3rd Declension,Social Life,12
874,rīdeō -ēre rīsī rīsum,rīdeō,"laugh, laugh at",Verb: 2nd Conjugation,2nd Conjugation,Emotions,227
875,aevum -ī n.,aevum,"eternity; lifetime, age",Noun: 2nd Declension,2nd Declension,Lengths of Time,12
876,audāx audācis,audāx,"bold, daring; reckless",Adjective: 3rd Declension,3rd Declension,Personality Traits/Characteristics,71
877,posterus -a -um,posterus,"next, later",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Time,84
878,praetor -ōris m.,praetor,"praetor, one of the chief Roman magistrates",Noun: 3rd Declension,3rd Declension,The City,12
879,rūs rūris n.,rūs,country,Noun: 3rd Declension,3rd Declension,Geography,14
880,differō differre distulī dīlātum,differō,"scatter; publish, divulge; differ; defer, postpone",Verb: Irregular,Irregular,Making/Doing,259
881,vītō -āre,vītō,"avoid, shun",Verb: 1st Conjugation,1st Conjugation,Social Life,227
882,prīvātus -a -um,prīvātus,"personal, private",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Social Life,84
883,serviō -īre,serviō,"be a slave, serve (+ dat.)",Verb: 4th Conjugation,4th Conjugation,The Household,277
