rank,headword,lemma,translation,part_of_speech,declension_or_conjugation,semantic_group,form_count
191,puer puerī m.,puer,boy; slave,Noun: 2nd Declension,2nd Declension,People,12
192,moveō -ēre mōvī mōtum,moveō,move,Verb: 2nd Conjugation,2nd Conjugation,Motion,227
193,dolor -ōris m.,dolor,"pain, grief",Noun: 3rd Declension,3rd Declension,Emotions,12
194,gēns gentis f.,gēns,"family, clan",Noun: 3rd Declension,3rd Declension,The Household,12
195,modus -ī m.,modus,"measure, manner, kind",Noun: 2nd Declension,2nd Declension,Measurement,12
196,via -ae f.,via,"way, street",Noun: 1st Declension,1st Declension,Travel,12
197,quisque quaeque quidque,quisque,"each one, everyone",Pronoun,Pronoun,Pronouns/Interrogatives,23
198,amīcus -a -um,amīcus,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,84
199,pēs pedis m.,pēs,foot,Noun: 3rd Declension,3rd Declension,The Body,12
200,imperium -ī n.,imperium,"command, power",Noun: 2nd Declension,2nd Declension,War and Peace,11
201,labor -ōris m.,labor,"toil, exertion",Noun: 3rd Declension,3rd Declension,Business/Money,12
202,ingēns ingentis,ingēns,"huge, enormous",Adjective: 3rd Declension,3rd Declension,Measurement,71
203,tālis tāle,tālis,such,Adjective: 3rd Declension,3rd Declension,Measurement,73
204,parum,parum,too little,Adverb,,Measurement,0
205,apud,apud,"near, in the presence of (+acc.)",Preposition,,Place,0
206,oculus -ī m.,oculus,eye,Noun: 2nd Declension,2nd Declension,The Body,12
207,unda -ae f.,unda,"wave, flowing water, water",Noun: 1st Declension,1st Declension,Earth and Water,12
208,itaque,itaque,"and so, therefore",Conjunction,,Conjunctions/Adverbs,0
209,vultus -ūs m.,vultus,"look, expression, face",Noun: 4th Declension,4th Declension,The Body,12
210,cadō cadere cecidī cāsum,cadō,"fall, be killed",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Violence,262
211,nātus -ī m.,nātus,son,Noun: 2nd Declension,2nd Declension,The Household,22
212,quis quid,quis,who? what? which?,Pronoun,Pronoun,Pronouns/Interrogatives,21
213,trahō trahere trāxī trāctum,trahō,"drag, draw",Verb: 3rd Conjugation -ō,3rd Conjugation -ō,Verbs of Compelling/Directing,260
214,sanguis -inis m.,sanguis,blood,Noun: 3rd Declension,3rd Declension,The Body,12
215,metus -ūs m.,metus,"fear, dread",Noun: 4th Declension,4th Declension,Emotions,12
216,"tantum, tantummodo","tantum,",only,Adverb,,Measurement,0
217,cōnsilium -ī n.,cōnsilium,"plan; council, group of advisors",Noun: 2nd Declension,2nd Declension,The City,11
218,coniunx coniugis m./f.,coniunx,"spouse, husband, wife",Noun: 3rd Declension,3rd Declension,The Household,12
219,amō -āre,amō,to love; amāns -ntis m./f.: lover,Verb: 1st Conjugation,1st Conjugation,Love,277
220,levis -e,levis,"light, trivial",Adjective: 3rd Declension,3rd Declension,Measurement,73
221,duo duae duo,duo,two,Adjective: Numeral,Numeral,Measurement,70
222,ferus -a -um,ferus,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Animals/Plants,84
223,poena -ae f.,poena,"penalty, punishment",Noun: 1st Declension,1st Declension,Justice,12
224,castrum -ī n.,castrum,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,2nd Declension,War and Peace,12
225,frāter frātris m.,frāter,brother,Noun: 3rd Declension,3rd Declension,The Household,12
226,haud,haud,not,Adverb,,Conjunctions/Adverbs,0
227,malus -a -um,malus,"bad, evil",Adjective: 1st and 2nd Declension,1st and 2nd Declension,Personality Traits/Characteristics,52
228,iaceō iacēre iacuī,iaceō,lie,Verb: 2nd Conjugation,2nd Conjugation,The House,227
229,līber lībera līberum,līber,free; līberī (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,1st and 2nd Declension,Justice,84
230,iter itineris n.,iter,"journey, route",Noun: 3rd Declension,3rd Declension,Travel,12
231,ferrum -ī n.,ferrum,"iron, iron weapon or implement",Noun: 2nd Declension,2nd Declension,Violence,12
232,spēs speī f.,spēs,hope,Noun: 5th Declension,5th Declension,Emotions,12
233,puella -ae f.,puella,girl; girl-friend,Noun: 1st Declension,1st Declension,People,12
